president,category,subcategory,item,count
TRUMAN,Vegetables,Pickles,Pickled Peaches,1
TRUMAN,Vegetables,Pickles,Watermelon Pickles,2
TRUMAN,Vegetables,Pickles,Pickled Beets,3
TRUMAN,Vegetables,Celery,Celery,2
TRUMAN,Vegetables,Celery,Curled Celery,1
TRUMAN,Vegetables,Celery,Celery Hearts,14
TRUMAN,Vegetables,Olives,Olives,2
TRUMAN,Vegetables,Olives,Assorted Olives,15
TRUMAN,Vegetables,Carrots,Glazed Carrots,1
TRUMAN,Vegetables,Carrots,Julienne Carrots,1
TRUMAN,Vegetables,Carrots,Candied Carrots,2
TRUMAN,Vegetables,Cauliflower,Cauliflower in Mustard Sauce,1
TRUMAN,Vegetables,Cauliflower,Cauliflower au Gratin,1
TRUMAN,Vegetables,Cauliflower,Cauliflower Au Hollandaise,1
TRUMAN,Vegetables,Mushrooms,Mushrooms,1
TRUMAN,Vegetables,Mushrooms,Baked Stuffed Tomatoes with Mushrooms,3
TRUMAN,Vegetables,Mushrooms,Broiled Mushrooms,1
TRUMAN,Vegetables,Mushrooms,Smothered Mushrooms,1
TRUMAN,Vegetables,Beets,Buttered Beets,1
TRUMAN,Vegetables,Beets,Harvard Beets,2
TRUMAN,Vegetables,Cranberries,Cranberry Sauce,2
TRUMAN,Vegetables,Asparagus,Fresh Asparagus,1
TRUMAN,Vegetables,Asparagus,Asparagus,1
TRUMAN,Vegetables,Asparagus,Asparagus with Lemon Drawn Butter,1
TRUMAN,Vegetables,Asparagus,Buttered Asparagus,4
TRUMAN,Vegetables,Asparagus,Hot Asparagus with Hollandaise Sauce,1
TRUMAN,Vegetables,Asparagus,Asparagus Hollandaise,1
TRUMAN,Vegetables,Asparagus,Asparagus Au Hollandaise,1
TRUMAN,Vegetables,Lemons,Lemon Slices,1
TRUMAN,Vegetables,Lemons,Lemon and Lime Wedges,1
TRUMAN,Vegetables,Spinach,Baked Spinach,1
TRUMAN,Vegetables,Spinach,Spinach Goldenrod,2
TRUMAN,Vegetables,Eggplant,French Fried Eggplant,1
TRUMAN,Vegetables,Oranges,Baked Oranges,1
TRUMAN,Vegetables,Green Beans,Green Beans,3
TRUMAN,Vegetables,Green Beans,String Beans,1
TRUMAN,Vegetables,Green Beans,French String Beans,1
TRUMAN,Vegetables,Green Beans,Buttered Green Beans,1
TRUMAN,Vegetables,Green Beans,Buttered String beans,5
TRUMAN,Wine,Hard Liquor,Old Jack,1
TRUMAN,Wine,Hard Liquor,Martinis,16
TRUMAN,Wine,Hard Liquor,Daiquiris,2
TRUMAN,Wine,Hard Liquor,Scotch,1
TRUMAN,Wine,Hard Liquor,Old Fashioneds,13
TRUMAN,Wine,Juice,Orange Juice,13
TRUMAN,Wine,Juice,Tomato Juice,16
TRUMAN,Wine,Juice,White Grape Juice,2
TRUMAN,Wine,White Wine,White Wine,5
TRUMAN,Wine,Red Wine,Red Wine,2
TRUMAN,Wine,Red Wine,Sauterne,4
TRUMAN,Wine,Champagne,Champagne,10
TRUMAN,Wine,Burgundy,Sparkling,1
TRUMAN,Wine,Sherry,Sherry,4
TRUMAN,Soup/Salad,Tossed,Tossed Salad,1
TRUMAN,Soup/Salad,Soup,Cream of Mushroom,1
TRUMAN,Soup/Salad,Soup,Minestrone Soup with Parmesan Cheese,2
TRUMAN,Soup/Salad,Soup,Minestrone Soup,2
TRUMAN,Soup/Salad,Soup,New England Fish Chowder,1
TRUMAN,Soup/Salad,Soup,Oyster Soup,1
TRUMAN,Soup/Salad,Soup,Clear Soup,3
TRUMAN,Soup/Salad,Soup,Clear Soup with Marrow Balls,1
TRUMAN,Soup/Salad,Soup,Clear Soup with Egg Balls,1
TRUMAN,Soup/Salad,Soup,Soup Julienne,1
TRUMAN,Soup/Salad,Soup,Consommé - Egg Drops,1
TRUMAN,Soup/Salad,Soup,Beef Consommé with Cream Almond Dumplings,1
TRUMAN,Soup/Salad,Soup,Vegetable Soup,1
TRUMAN,Soup/Salad,Soup,Almond Soup with Chopped Parsley,1
TRUMAN,Soup/Salad,Cheese,Blue Cheese,3
TRUMAN,Soup/Salad,Cheese,Gruyere Cheese,1
TRUMAN,Soup/Salad,Cheese,Pineapple Salad with Cheese Balls,1
TRUMAN,Soup/Salad,Cheese,Camembert,1
TRUMAN,Soup/Salad,Fruit Cup,Brandied Fruit Cup,1
TRUMAN,Soup/Salad,Fruit Cup,Brandied Mint Orange Cup,1
TRUMAN,Soup/Salad,Lettuce,Lettuce with French Dressing,1
TRUMAN,Soup/Salad,Lettuce,Hearts of Lettuce with French Dressing,1
TRUMAN,Soup/Salad,Lettuce,Lettuce Salad with Roquefort Dressing,1
TRUMAN,Soup/Salad,Lettuce,Shredded Lettuce with French Dressing,1
TRUMAN,Soup/Salad,Lettuce,Hearts of Lettuce with Russian Dressing,1
TRUMAN,Soup/Salad,Lettuce,Hearts of Lettuce with Roquefort Cheese Dressing,1
TRUMAN,Soup/Salad,Lettuce,Hearts of Lettuce with Roquefort Dressing,2
TRUMAN,Soup/Salad,Gelatin,Gingerale and Peach Salad,1
TRUMAN,Soup/Salad,Gelatin,Jellied Madrilene with Horseradish Sauce,1
TRUMAN,Soup/Salad,Cream Cheese,Cream Cheese Balls Rolled in Parsley and Carrots Shavings with Wine Dressing,2
TRUMAN,Soup/Salad,Artichokes,Green Salad and Artichoke Hearts with Herb Dressing,2
TRUMAN,Soup/Salad,Artichokes,Green Salad with Artichoke Hearts,1
TRUMAN,Soup/Salad,Artichokes,Green Salad and Artichoke Hearts with Herb French Dressing,1
TRUMAN,Soup/Salad,Avocado,"Orange, Grapefruit, Avocado, and Cress Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Avocado,"Grapefruit, Avocado, Cress, and Hearts of Palm Salad with Herb Dressing",1
TRUMAN,Soup/Salad,Avocado,"Avocado, Grapefruit, and Orange Salad with Honey Dressing",1
TRUMAN,Soup/Salad,Avocado,"Orange, Grapefruit, Avocado, and Cress Salad",1
