CODE,NAME
MWEA,MIDWEST EXPRESS AIRL
MWER,MIDWEST EXPRESS AIRL
MWRG,DOWNSTOWN AIRPORT IN
MXIA,MARTINAIR INC
MXSR,MIDWEST AERO SUPPORT
MY2R,CENTRAL CYLINDER SER
MYSA,MERCY AIR SERVICE IN
MYWA,MIAMI AIR INTERNATIO
MZ4R,RAYTHEON AIRCRAFT SE
MZAR,ST MOBILE AEROSPACE
MZER,MODERN AERO INC
MZZA,CONTINENTAL MICRONES
N3VR,NAVCOM AVIATION INC
NACA,NORTHERN AIR CARGO I
NADA,NORTHERN AIRWAYS INC
NAKA,NICHOLS AVIATION INC
NCLR,NOREAST AVIATION SER
NE2R,B AND S AIRCRAFT PAR
NE3R,CESSNA AIRCRAFT CO
NF2R,JOLIET AVIONICS INC
NH2D,AEROTRONICS INC
NIEG,AVAG INC
NJ1R,PENN YAN AERO SERVIC
NN3R,IASCO
NO1Y,MARSHALL OF CAMBRIDG
NO3D,AMERITECH INDUSTRIES
NO3R,AMERITECH INDUSTRIES
NOCA,NORTH AMERICAN AIRLI
NOMB,NOMADS INC
NOZR,NORTHROP CORPORATION
NQ2R,HAGELIN AIRCRAFT MOT
NQ3R,PACIFIC PROPELLER IN
NS4R,CAPITAL AVIONICS INC
NT2R,WELLS AIRCRAFT INC
NT3R,"LOEWEN, PAUL E"
NTBR,NORTHSTAR AIR EXPRES
NTLA,NORTHLAND AVIATION I
NU1R,MEAD CORP
NU2R,AERO MACH LABS INC
NV1R,NCR CORP AVIATION DI
NV2R,AERO ELECTRIC INC
NVEA,FLAGSHIP AIRLINES IN
NVIA,JET EAST INC
NVIR,JET EAST INC
NVMR,NAVCOM AVIATION INC
NVVR,SANSAA AIRCRAFT PART
NW4R,NORTHEAST FLORIDA AI
NWAA,NORTHWEST AIRLINES I
NX42,EMBRY RIDDLE AERONAU
NXTA,NORTH CENTRAL TEXAS
NYBA,NEW YORK HELICOPTER
NZBR,SILVER BAY LOGGING I
NZUR,SABRELINER CORPORATI
NZZA,NORTHEAST AVIATION I
OAER,F ATLEE DODGE AIRCRA
OAWA,AIR CAROLINA INC
OD1R,COMPRESSED AVIATION
ODMR,DORNE AND MARGOLIN I
OENR,ERNIES AIRCRAFT SERV
OEZA,EAGLE CANYON AIRLINE
OF1R,MONMOUTH AIRCRAFT SV
OF3R,MIKES AERO
OG2R,BALLOONS ALOFT
OG5R,UNIVERSITY OF NORTH
OGCB,CONTRACT AIR CARGO
OHER,HAMILTON STANDARD EL
OHGA,H AND H AVIATION INC
OIZA,EAGLE JET CHARTER IN
OL3R,AVITECH ENGINEERING
OLJA,MILTON S HERSHEY MED
OLKR,LORAVCO SERVICES
OM4R,CYPRESS AVIATION INC
OMKR,ROCKY MOUNTAIN STRAI
ONFR,O AND N AIRCRAFT MOD
OQ5R,BECKETT ENTERPRISES
ORJA,RENO AIR INC
OS5D,CLEVELAND JET CENTER
OSYA,SKY CHARTER INC
OUGR,"BURROUGHS, JAMES AND"
OW2R,TECUMSEH AIRCRAFT
OW4R,SUNSTATE PROPELLER I
OWFR,WORLDWIDE AIRCRAFT S
OYSR,AVIATION RESEARCH SY
OZZR,J L OSBORNE INC
P2EA,VANGUARD AIRLINES IN
P2MR,PENINSULA AIR METALS
P3NR,CENTRAL PENNSYLVANIA
P5CA,POLAR AIR CARGO INC
P9IA,NAVCOM AVIATION II I
PA1R,AVIONICS TECHNOLOGY
PAI5,PIEDMONT AVIATION IN
PAIR,PIEDMONT AVIATION IN
PAJA,PAB AVIATION INC
PAWR,PENNSYLVANIA AVIATIO
PAZR,PREMIER AIR CENTER I
PB2R,LY CON AVIATION INC
PB4R,PRECISION AIR INC
PC4R,NORTH AMERICAN INSTI
PCAA,ALLEGHENY AIRLINES I
PCGA,"POSEY, J CHRIS"
PCPR,RANCHO MURIETA AIRPO
PCSA,AMERIJET INTERNATION
PE4A,GRAND STRAND AVIATIO
PG2R,RON COLLINS AVIATION
PGLR,H AND L ACCESSORIES
PI4R,MEMPHIS PROPELLER SE
PIDA,PIEDMONT AVIATION SE
PIQR,PIEDMONT AVIATION SE
PIVA,PACIFIC ISLAND AVIAT
PIVR,PACIFIC ISLAND AVIAT
PJMA,PROMECH INC
PJYR,SIGNATURE FLIGHT SUP
PJZA,PACIFIC WEST AIRLINE
PLGA,BUSINESS EXPRESS INC
PN1R,STERLING HELICOPTER
PN5R,CENTURY HELICOPTERS
PNAA,PANAMA AVIATION INC
PNSA,PENINSULA AIRWAYS IN
PP0M,PASADENA POLICE DEPA
PR5R,DAKOTA AERO TECH INC
PRIA,PAL-WAUKEE AVIATION
PRIR,PALWAUKEE AVIATION I
PS9R,PACIFIC SCIENTIFIC C
PSLA,PREMIER AVIATION INC
PW2R,AEROSONIC CORP
PX1R,AIR CRUISERS CO
PX3R,PACAERO
QA9R,QUALITY AVIONICS
QD1Y,H AND S AVIATION LTD
QD5R,PRECISION AIR POWER
QE5R,S AND B INDUSTRIES I
QEVR,AIR EVAC INC
QFCA,CANYON FLYERS AVIATI
QFGS,AIRMAN FLIGHT SCHOOL
QFVR,MCI FLIGHT OPERATION
QGIR,GENTZ INDUSTRIES L L
QGXA,ORANGE COUNTY SUNBIR
QH5R,MET CHEM TESTING LAB
QHSR,HELIPLEX SERVICES IN
QJ5R,GARLICK HELICOPTERS
QK2R,K C AVIATION INC
QK4Y,AVIASERVICE C A
QKKR,ARN-AIR
QKZA,AIRLINK INC
QLIA,NEWMAX CORPORATION
QLMY,QANTAS AIRWAYS LTD
QMLR,AIR METHODS INC
QMZR,MILLION AIR-READING
QOCY,EVA AIRWAYS CORPORAT
QP4R,RICH INTL AIRWAYS IN
QQSY,ST AEROSPACE ENGINEE
QT2R,AIRWORK CORP
QT3R,ALLIED BENDIX AEROSP
QTVR,TRANSPORTATION SYSTE
QU2R,ATLANTIC AVIATION CO
QX2R,MATTITUCK AIRBASE IN
QXEA,HORIZON AIR INDUSTRI
QY5R,LINCOLN LABORATORY F
QZRR,MOORE COUNTY AIRPORT
R2JR,RICHMOND JET CENTER
R3R2,RAYTHEON AEROSPACE S
R7LR,LEGG AVIATION INC
R7MA,ROCKY MOUNTAIN HOLDI
R7MR,ROCKY MOUNTAIN HOLDI
RA1R,GREENWICH AIR SERVIC
RAAA,REEVE ALEUTIAN AIRWA
RAIA,TRANS STATES AIRLINE
RB6R,RENAISSANCE BALLOONS
RBCF,AIR B C LIMITED
RC2R,NEW ENGLAND PROPELLE
RD3R,SABRETECH INC
RD43,AVIALL INC
RD4D,AVIALL INC
RENA,RENOWN AVIATION INC
REXA,EXPRESS AIRLINES I I
RG1R,AERCO
RG2R,AEROTHRUST CORP
RH6R,RICHILL INCORPORATED
RIAA,RICH INTERNATIONAL A
RIVA,CARNIVAL AIR LINES I
RJ1R,PEMCO WORLD AIR SERV
RJ3R,HAWKER PACIFIC INC
RJEF,TACA INTERNATIONAL A
RJEY,TACA AEROMANTENIMIEN
RKWA,SAWTOOTH FLYING SERV
RL4R,EXECUTIVE ACCESSORIE
RL8R,RICE LAKE AIR CENTER
RMMA,REMMERS AVIATION INC
RMMR,REMMERS AVIATION INC
RMXA,OMNIFLIGHT HELICOPTE
RNVA,AIR NEVADA AIRLINES
RO2R,TIM MCCANDLESS INC
RO3R,MIDCOAST AVIATION IN
ROSA,ROSS AVIATION INC
ROSR,ROSS AVIATION INC
RPFB,ABC AVIATION INC
RR4R,BRUBAKER PROPELLER S
RRXA,EMERY WORLDWIDE AIRL
RRXR,EMERY WORLDWIDE CONT
RSUA,AVIATION RESOURCES I
RSUR,AVIATION RESOURCES I
RT2R,INDIANA STATE POLICE
RTAR,TRUMAN ARNOLD COMPAN
RU2R,OVERLAND AVIATION SE
RU3A,OFFICE OF AVIATION S
RW1R,COMPOSITE TECHNOLOGY
RX7R,REGIONAL AIR INC
RX8R,RAYTHEON AEROSPACE C
RYNA,RYAN INTERNATIONAL A
S2VR,SOUTHERN VIRGINIA AV
S2YA,ASTRAL AVIATION INC
S3BM,SANTA BARBARA AEROSP
S3BR,SANTA BARBARA AEROSP
S4FA,PACIFIC INTERNATIONA
S5TA,SCENIC AIR TOURS INC
S5WR,SOUTHWEST AERO TECHN
S9HA,SILVERADO HELICOPTER
SABA,CCAIR INC
SBOF,SINGAPORE AIRLINES L
SCNA,SUN COUNTRY AIRLINES
SCOF,PHILIPPINE AIRLINES
SDIG,RICELAND AVIATION IN
SF3R,CHANDLER EVANS INC
SF5R,MERL INC
SFOA,SENECA FLIGHT OPERAT
SH5R,BOMBARDIER AVIATION
SH6Y,SHANNON AEROSPACE LI
SI3R,UNITED TECHNOLOGIES
SI6R,SIERRA INDUSTRIES IN
SI9Y,SMITH INDUSTRIES AER
SIMA,SIMMONS AIRLINES INC
SJ1R,INTERTURBINE CORP
SJ7R,SOUTHERN JET MANAGEM
SK5R,TURBINE COMPONENT RE
SL3R,HELICOPTER SERVICES
SL52,THREE WING AVIONICS
SL5R,THREE WING AVIATION
SLIA,SALAIR INC
SMPA,SAMOA AVIATION INC
SMTR,SUMMIT AVIATION INC
SN3R,SCHWEIZER AIRCRAFT C
SN7A,SENTEL CORPORATION
SNCA,HUIZENGA HOLDINGS IN
SO5R,COLUMBIA AIR SERVICE
SOCA,SOUTHCENTRAL AIR INC
SOEA,SOUTHERN OUTBOUND AI
SPAA,SIERRA PACIFIC AIRLI
SPDR,SPECIAL PRODUCTS AVI
SQ5R,GAS TURBINE CORP
SQFA,SAFE AIR INTERNATION
SQPA,"PATRICK, SCOTT"
SRAA,SOUTHERN AIR TRANSPO
SRVA,BASLER TURBO CONVERS
SSHA,SUNSHINE HELICOPTERS
ST1R,"DARLING, TOMMY R"
SVBA,SIOUX VALLEY HOSPITA
SWAA,SOUTHWEST AIRLINES C
SWHA,CONQUEST AIRLINES CO
SWIA,SKYWEST AIRLINES INC
SX3R,AERO MECHANICS INC
SYVR,R AND M AIRCRAFT SPE
SZLB,SKYWAYS INTERNATIONA
SZTR,SOUTHWEST HELICOPTER
TA5R,FLIGHT SUPPORT INC
TALA,TRANS AIR LINK CORP
TAOA,SHUTTLE INC
TAPY,TAP AIR PORTUGAL EP
TC8A,TRANS CONTINENTAL AI
TEIL,TENNESSEE GAS PIPELI
TEIR,TENNESSEE GAS PIPELI
TFAA,TRANS FLORIDA AIRLIN
TI1R,OMNIFLIGHT HELICOPTE
TIMA,ALPINE AVIATION INC
TIXA,TRI STAR AIRLINES IN
TJ4R,LEARJET INC
TLXF,TIME AIR INC
TOZR,THOMASON AIRCRAFT CO
TQLR,TYGOR LABORATORIES I
TR1R,E SYSTEMS INC
TRBA,EXECUTIVE AIRLINES I
TRKR,CRAIG AIR CENTER INC
TSAA,ALOHA AIRLINES INC
TTAF,TRINIDAD AND TOBAGO
TTAY,BWIA INTERNATIONAL A
TU3R,AIR SERVICES INTERNA
TUCR,PHARMACIA AND UPJOHN
TUPR,PREMIER JETS COMPLET
TUVR,CHROMALLOY GAS TURBI
TW3R,AIRWELD INC
TWAA,TRANS WORLD AIRLINES
TWAR,TRANS WORLD AIRLINES
TWRA,TOWER AIR INC
TY5R,COASTAL AVIATION IND
UA2R,FAA OFFICE OF AVIATI
UA9R,UNC ACCESSORY SERVIC
UALA,UNITED AIR LINES INC
UATA,ARCTIC TRANSPORTATIO
UAVR,AVIALL INC
UBIA,BASEOPS INTERNATIONA
UC2R,UNIV OF ILLINOIS INS
UCXR,CUSTOM PROPELLER INC
UE3R,BIRD SPACE TECHNOLOG
UEFR,RFINC INC
UF2R,MAXWELL AIRCRAFT SER
UF6A,UFS INC
UFAR,TENNESSEE AIRCRAFT
UG1R,LOUISIANA AIRCRAFT I
UG4R,PINELLAS COUNTY SHER
UGMR,GRUMMAN LOUISIANA OP
UH6R,RAYTHEON AIRCRAFT SE
UHVA,H C L AVIATION INC
UIEA,ATLAS AIR INC
UJ1R,J AND G AERO CARBURE
UJCA,UNITED JET CENTER IN
UJDR,AERO DYNAMICS OF REA
UJJR,JET AVIATION SERVICE
UKJR,ANGOLA AIRCRAFT SERV
ULHF,LAKER AIRWAYS BAHAMA
ULXR,CITY OF LOS ANGELES-
UN7R,UNC ACCESSORY SERVIC
UNER,UNC INC
UO2R,UNC CFC ACQUISITION
UP2R,HOOSIER AIRCRAFT ACC
UP7R,U S PROPELLER SERVIC
UP9R,UNIVERSAL POWER INC
UPNR,"DAVIDS, PAUL R"
UQRR,ROIGWEST INC
US2R,APPROVED AIRCRAFT AC
USAA,USAIR INC
USVA,NATIONS AIR EXPRESS
UU2R,WOODWARD GOVERNOR CO
UUAA,AUTEC RANGE SERVICES
UUXR,LYNAIRE INC
UV5R,QUONSET AIRCRAFT SER
UW4R,CARTER AIRCRAFT INC
V2AR,AVALASKA INC
VA1R,RAM AIRCRAFT CORP
VAIA,AIR ST THOMAS
VD1R,AERO KOOL CORP
VE22,DALLAS AIRMOTIVE INC
VE2R,DALLAS AIRMOTIVE INC
VE3D,CITY OF LOS ANGELES
VE3R,CITY OF LOS ANGELES
VG4R,RAYTHEON AIRCRAFT SE
VG5R,J J AND W AIRCRAFT S
VGMR,GRUMMAN STUART OPERA
VH2R,FAIRCHILD AIRCRAFT S
VH3R,PAULS AIRCRAFT INC
VI5R,AGC INC
VIB2,STEVENS AVIATION INC
VIB3,STEVENS AVIATION INC
VIB4,STEVENS AVIATION
VIB5,STEVENS AVIATION L L
VIB6,STEVENS AVIATION INC
VIBA,STEVENS AVIATION INC
VIBR,STEVENS AVIATION
VIWR,J J GLIDER REPAIR
VJ1R,K C AVIATION INC
VJ3R,AIRLINE TRAINING CEN
VJ6A,VALUJET AIRLINES INC
VJTA,DELLARIA AVIATION IN
VLIA,VIEQUES AIR LINK INC
VLLA,MIAMI VALLEY AVIATIO
VLWA,AIRWAY AIR CHARTER I
VM1R,PASO DEL NORTE AVION
VM4R,MIAMI FIELD SERVICE
VN4R,COMMODORE AVIATION I
VNAA,PSA AIRLINES INC
VNRA,VANAIR INC
VOPR,REGIONAL AIRCRAFT SE
VOVR,AIR ASSOCIATES INC
VOXA,FLIGHT LINE INC
VPDA,PIEDMONT AIR CARGO I
VRXR,CARVER AERO INC
VSTA,VISCOUNT AIR SERVICE
VT3R,GIBBS SERVICE CENTER
VTMR,TOMS AIRCRAFT MAINTE
VTZA,ATLANTIC COAST AIRLI
VU2R,PROCTER AND GAMBLE C
VUMA,KUMULANI AIR INC
VVRA,RMA INC
VWIR,AVIONICS WEST INC
VX2R,UNION CARBIDE CORP
VXWR,COMMONWEALTH AVIATIO
VY2R,WILAIR SERVICES INC
VZMA,AIR EVAC AIR AMBULAN
W6HR,HELICOPTER SERVICES
W6NR,WINNER AVIATION INC
W8PA,WESTERN PACIFIC AIRL
WA2D,PRATT AND WHITNEY OV
WB3R,NI-CAD SYSTEMS INC
WC7R,AIR SERVICES OF CLEV
WCAA,WALKERS AVIATION SER
WD3R,BALLOON EXCELSIOR IN
WD4R,BANYAN AIR SERVICES
WG3R,BIG VALLEY AVIATION
WG4R,M AND M AIRCRAFT SER
WH6A,WHITE CLOUD CHARTER
WIBR,WAL-MART STORES INC
WIPA,AIR RESOURCES HELICO
WIWR,WESTWIND AVIATION IN
WIZR,PACIFIC FLIGHT SERVI
WJCA,WORLD JET CORP
WLCR,PETERSEN AVIATION
WN1R,BYAM PROPELLER SERVI
WNPR,AERO POWER INC
WRLA,WORLD AIRWAYS INC
WRNA,WRANGLER AVIATION IN
WS2R,TMT RESEARCH DEVELOP
WTAA,WESTAIR COMMUTER AIR
WTXR,WEST STAR AVIATION I
WVBA,WARBELOWS AIR VENTUR
WVER,WEST VIRGINIA AEROSP
WWKR,WICK AIR INC
WWMA,WINGS WEST AIRLINES
X5CA,AIR CARGO EXPRESS IN
XA13,UNITED BEECHCRAFT IN
XA1R,RAYTHEON AIRCRAFT SE
XAZR,AZZMAC HELICOPTER CE
XB1R,UNC-CFC AQUISITION C
XBTR,BARRETT PERFORMANCE
XBU8,AIRBUS INDUSTRIES BR
XBUZ,AIRBUS INDUSTRIES SO
XC4R,FUTURE AVIATION INC
XEFR,EXECUTIVE FLIGHT MAN
XEKR,EXECUTIVE WINGS INC
XJ2R,HELICOPTER ACCESSORY
XNJR,NORTHWEST JET SALES
XOUR,TROUTDALE AVIONICS
XPCA,AMERICAN MEDFLIGHT I
XRDR,RADANT TECHNOLOGIES
XX4R,PROPELLER SERVICE OF
XZNR,ARIZONA ROTOR CRAFT
Y2BR,AMERICAN BEECHCRAFT
Y2PA,USA JET AIRLINES INC
YA1R,HOUSTON BALLOON REPA
YAAA,YUTE AIR ALASKA INC
YADA,ALASKA CENTRAL EXPRE
YAGY,AERO BAIRES S A C I
YAUA,CAPITOL AIR EXPRESS
YBJR,AMERICAN BEECHCRAFT
YC6A,YONKERS CONTRACTING
YCTR,ULTIMATE ENGINES INC
YDYR,DYNCORP
YECR,ENGINE COMPONENTS IN
YK1R,ARKANSAS AEROSPACE I
YKER,KEYSTONE ENGINE SERV
YL1R,FALCON JET CORP
YMHR,C M H AVIATION INC
YNOA,NORTH AMERICAN AIR C
YNWR,EXPRESS AIRLINES I I
YQSA,SILVERHAWK AVIATION
YRJR,AIR REGENT INVESTORS
YRRR,DALLAS AIRMOTIVE INC
YSAA,SONIC AIR SYSTEMS IN
YT2R,ROTORCRAFT SUPPORT I
YV3R,ROBINSON HELICOPTER
YV4R,AERO ACCESSORIES INC
YX4R,US PROPELLER SERVICE
YXRR,ROYAL AVIATION SERVI
YXUR,TUCSON AEROSERVICE C
YYBR,BELVIDERE AIRMOTIVE
YYKR,KIM DAVIDSON AVIATIO
ZIAA,ZANTOP INTERNATIONAL
ZJ3R,"WARNER, DENNIS"
ZJ4R,LOCKHEED MARTIN AIRC
ZKGR,ACADIA AIR INC
ZM3R,ARIZONA AIR CRAFTSME
ZUFY,FLS AEROSPACE LIMITE
ZV1R,MOBIL BUSINESS RESOU
ZWZA,WIND SPIRIT AIR INC
ZYNR,SIGNATURE FLIGHT SUP
ZYWA,WEST MICHIGAN AIR CA
ZZBR,BRUCE INDUSTRIES INC
ZZDA,AIRTRAN AIRWAYS INC
ZZGA,AEROJET INC
ZZVA,VIRGINIA AIR CORP
