CODE,NAME
C2TA,CAROLINA AIR TRANSIT
C2XA,CONTINENTAL EXPRESS
C3FR,CF AIRTRONICS INC
C6PA,COLUMBIA PACIFIC AVI
C6YR,C AND G AIRCRAFT INC
CAKA,ARLINGTON LEASING IN
CALA,CONTINENTAL AIRLINES
CANA,AVIATION METHODS INC
CAXG,ARIS HELICOPTERS LTD
CB5Y,CSE AVIATION LTD
CB9T,SPARTAN SCHOOL OF AE
CBCR,CASPER AIR SERVICE I
CCAR,CHESTER COUNTY AVIAT
CDIS,QUEEN CITY AVIATION
CE4R,AVIATION ELECTRONICS
CE8S,COMAIR AVIATION ACAD
CECA,SOMERSET AIR SERVICE
CENA,CENTURY AIRLINES INC
CF4R,STATE OF ALASKA
CFCA,PROMPT AIR INC
CGFR,LUMANAIR INC
CGHR,ELLIOTT AVIATION OF
CGOR,RAYTHEON AIRCRAFT SE
CHIA,COLUMBIA HELICOPTERS
CHIR,COLUMBIA HELICOPTERS
CHQA,CHAUTAUQUA AIRLINES
CHRA,VIKING EXPRESS INC
CICA,PARADISE ISLAND AIRL
CIER,MAYO AVIATION INC
CISY,CARGOLUX AIRLINES IN
CKSA,AMERICAN INTERNATION
CL4R,US DEPARTMENT OF INT
CLCA,CHALLENGE AIR CARGO
CM2R,AUTOPILOTS CENTRAL I
CMDF,COMPANIA MEXICANA DE
CMWA,PREMIER JETS INC
CMXR,DEPT OF POWER AND TR
CNQR,CESSNA AIRCRAFT CO
CO4R,TESTING INSTITUTE OF
COEA,EMPIRE AIRLINES INC
COMA,COMAIR INC
COZA,KAISERAIR INC
COZR,KAISERAIR INC
CQVA,CHARLES CITY AERONAU
CQVR,CHARLES CITY AERONAU
CR1R,LAURENCE AIRCRAFT EL
CRJA,HAPS AIR SERVICE INC
CRJR,HAPS AIR SERVICE INC
CS2R,GLOBE X RAY SERVICES
CS3R,FRESNO JET CENTER IN
CSAA,CAPE SMYTHE AIR SERV
CSLR,LINDNER AVIATION INC
CSNR,NIEDERHAUSER AIRWAYS
CSRR,MARSHALLTOWN AVIATIO
CSVA,DENISON AVIATION INC
CSVR,DENISON AVIATION INC
CT3R,LYCON AIRCRAFT ENGIN
CU4R,NORTHERN LIGHTS AVIO
CUIA,SHANAIR INC
CV3R,PENLAND HELICOPTER R
CVGA,CVG AVIATION INC
CW1R,IBM CORP
CW7R,CORPORATE WINGS SERV
CWBR,AVIATION SALES INC
CWNR,AIR 88 INC
CWQA,AMERICAN AIR SERVICE
CWQR,AMERICAN AIR SERVICE
CWTA,SUNBIRD AIR SERVICES
CWXA,EAGLE AERO INC
CX7A,CHICAGO EXPRESS AIRL
CY1R,SIGNATURE FLIGHT SUP
CY4R,ALASKAN AIRCRAFT ENG
CYHR,CHERRY HELICOPTERS I
